Entry,Source MAC,Destination MAC,L2 Type,IP Version,IHL,TOS,Length,Identifier,Flags,Fragment,TTL,Protocol,Checksum,L3 Options,Source IP,Destination IP,Transport,Source Port,Destination Port,Sequence,Acknowledgement,Offset,Reserved,Flags,Window,Transport Checksum,Urgent Pointer,L4 Options,
38,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,93,0,Not Applicable,0,46,17,36925,[],142.251.33.68,10.10.2.10,TCP,443,56656,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,73,34480,Not Applicable,Not Applicable
39,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,56,0,Not Applicable,0,46,17,36962,[],142.251.33.68,10.10.2.10,TCP,443,56656,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,36,13029,Not Applicable,Not Applicable
40,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,64,9057,Not Applicable,0,128,17,0,[],10.10.2.10,142.251.33.68,TCP,56656,443,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44,48272,Not Applicable,Not Applicable
41,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,56,0,Not Applicable,0,46,17,36962,[],142.251.33.68,10.10.2.10,TCP,443,56656,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,36,42189,Not Applicable,Not Applicable
42,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,56,0,Not Applicable,0,46,17,36962,[],142.251.33.68,10.10.2.10,TCP,443,56656,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,36,42189,Not Applicable,Not Applicable
43,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,75,34031,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3657685308,3797762870,5,0,PA,8195,Not Applicable,6019,0,[]
44,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,0,34032,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3657685343,3797762870,5,0,PA,8195,Not Applicable,5964,0,[]
45,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,16914,A,0,63,6,57976,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3657685343,5,0,A,10033,Not Applicable,40438,0,[]
46,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,16915,A,0,63,6,57975,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3657686803,5,0,A,10033,Not Applicable,38978,0,[]
47,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,16916,A,0,63,6,57974,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3657686826,5,0,A,10033,Not Applicable,38955,0,[]
48,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,542,34034,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3657686826,3797762870,5,0,PA,8195,Not Applicable,6486,0,[]
49,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,16917,A,0,63,6,57973,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3657687328,5,0,A,10033,Not Applicable,38453,0,[]
50,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,32532,RA,0,128,6,0,[],10.10.2.10,10.10.1.20,TCP,59081,389,1014800991,50996583,5,0,RA,0,Not Applicable,5964,0,[]
51,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,75,34035,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3657687328,3797762870,5,0,PA,8195,Not Applicable,6019,0,[]
52,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,16918,A,0,63,6,57972,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3657687363,5,0,A,10033,Not Applicable,38418,0,[]
53,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,1114,34036,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3657687363,3797762870,5,0,PA,8195,Not Applicable,7058,0,[]
54,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,16919,A,0,63,6,57971,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3657688437,5,0,A,10033,Not Applicable,37344,0,[]
55,e0:63:da:26:7c:90,01:80:c2:00:00:0e,35020,4,5,0,40,16919,A,0,63,6,57971,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3657688437,5,0,A,10033,Not Applicable,37344,0,[]
56,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,182,32204,PA,0,128,6,0,[],10.10.2.10,104.16.248.249,TCP,57984,443,107232418,535152550,5,0,PA,1023,Not Applicable,28102,0,[]
57,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,252,60764,PA,0,55,6,59521,[],104.16.248.249,10.10.2.10,TCP,443,57984,535152550,107232560,5,0,PA,511,Not Applicable,10706,0,[]
58,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,71,60765,PA,0,55,6,59701,[],104.16.248.249,10.10.2.10,TCP,443,57984,535152762,107232560,5,0,PA,511,Not Applicable,39801,0,[]
59,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,182,32205,PA,0,128,6,0,[],10.10.2.10,104.16.248.249,TCP,57984,443,107232560,535152793,5,0,PA,1022,Not Applicable,28102,0,[]
60,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,225,60766,PA,0,55,6,59546,[],104.16.248.249,10.10.2.10,TCP,443,57984,535152793,107232702,5,0,PA,511,Not Applicable,40667,0,[]
61,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,71,60767,PA,0,55,6,59699,[],104.16.248.249,10.10.2.10,TCP,443,57984,535152978,107232702,5,0,PA,511,Not Applicable,39390,0,[]
62,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,32206,A,0,128,6,0,[],10.10.2.10,104.16.248.249,TCP,57984,443,107232702,535153009,5,0,A,1028,Not Applicable,27960,0,[]
63,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,52,53675,S,0,128,6,0,[],10.10.2.10,54.191.214.238,TCP,59083,443,168608332,0,8,0,S,64240,Not Applicable,6632,0,"[('MSS', 1460), ('NOP', None), ('WScale', 8), ('NOP', None), ('NOP', None), ('SAckOK', b'')]"
64,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,52,0,SA,0,225,6,32770,[],54.191.214.238,10.10.2.10,TCP,443,59083,3766264428,168608333,8,0,SA,26883,Not Applicable,46193,0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b''), ('NOP', None), ('WScale', 8)]"
65,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,53676,A,0,128,6,0,[],10.10.2.10,54.191.214.238,TCP,59083,443,168608333,3766264429,5,0,A,1026,Not Applicable,6620,0,[]
66,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,200,54439,PA,0,128,6,0,[],10.10.2.10,35.82.245.180,TCP,59079,80,1520228776,1650262845,5,0,PA,1026,Not Applicable,9685,0,[]
67,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,182,19220,PA,0,225,6,10515,[],35.82.245.180,10.10.2.10,TCP,80,59079,1650262845,1520228936,5,0,PA,114,Not Applicable,47387,0,[]
68,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,203,54440,PA,0,128,6,0,[],10.10.2.10,35.82.245.180,TCP,59079,80,1520228936,1650262987,5,0,PA,1025,Not Applicable,9688,0,[]
69,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,557,53677,PA,0,128,6,0,[],10.10.2.10,54.191.214.238,TCP,59083,443,168608333,3766264429,5,0,PA,1026,Not Applicable,7137,0,[]
70,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,219,19221,PA,0,225,6,10477,[],35.82.245.180,10.10.2.10,TCP,80,59079,1650262987,1520229099,5,0,PA,118,Not Applicable,37746,0,[]
71,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,45886,A,0,225,6,52431,[],54.191.214.238,10.10.2.10,TCP,443,59083,3766264429,168608850,5,0,A,110,Not Applicable,23509,0,[]
72,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,1500,45887,A,0,225,6,50970,[],54.191.214.238,10.10.2.10,TCP,443,59083,3766264429,168608850,5,0,A,110,Not Applicable,6209,0,[]
73,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,1500,45888,A,0,225,6,50969,[],54.191.214.238,10.10.2.10,TCP,443,59083,3766265889,168608850,5,0,A,110,Not Applicable,6738,0,[]
74,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,1500,45889,A,0,225,6,50968,[],54.191.214.238,10.10.2.10,TCP,443,59083,3766267349,168608850,5,0,A,110,Not Applicable,58563,0,[]
75,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,945,45890,PA,0,225,6,51522,[],54.191.214.238,10.10.2.10,TCP,443,59083,3766268809,168608850,5,0,PA,110,Not Applicable,26819,0,[]
76,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,53678,A,0,128,6,0,[],10.10.2.10,54.191.214.238,TCP,59083,443,168608850,3766269714,5,0,A,1026,Not Applicable,6620,0,[]
77,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,166,53679,PA,0,128,6,0,[],10.10.2.10,54.191.214.238,TCP,59083,443,168608850,3766269714,5,0,PA,1026,Not Applicable,6746,0,[]
78,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,166,53679,PA,0,128,6,0,[],10.10.2.10,54.191.214.238,TCP,59083,443,168608850,3766269714,5,0,PA,1026,Not Applicable,6746,0,[]
79,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,91,45891,PA,0,225,6,52375,[],54.191.214.238,10.10.2.10,TCP,443,59083,3766269714,168608976,5,0,PA,110,Not Applicable,24162,0,[]
80,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,109,45892,PA,0,225,6,52356,[],54.191.214.238,10.10.2.10,TCP,443,59083,3766269765,168608976,5,0,PA,110,Not Applicable,11933,0,[]
81,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,1325,53680,PA,0,128,6,0,[],10.10.2.10,54.191.214.238,TCP,59083,443,168608976,3766269834,5,0,PA,1026,Not Applicable,7905,0,[]
82,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,54441,A,0,128,6,0,[],10.10.2.10,35.82.245.180,TCP,59079,80,1520229099,1650263166,5,0,A,1024,Not Applicable,9525,0,[]
83,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,78,45893,PA,0,225,6,52386,[],54.191.214.238,10.10.2.10,TCP,443,59083,3766269834,168610261,5,0,PA,120,Not Applicable,10856,0,[]
84,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,78,53681,PA,0,128,6,0,[],10.10.2.10,54.191.214.238,TCP,59083,443,168610261,3766269872,5,0,PA,1025,Not Applicable,6658,0,[]
85,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,45894,A,0,225,6,52423,[],54.191.214.238,10.10.2.10,TCP,443,59083,3766269872,168610299,5,0,A,120,Not Applicable,16607,0,[]
86,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,682,45895,PA,0,225,6,51780,[],54.191.214.238,10.10.2.10,TCP,443,59083,3766269872,168610299,5,0,PA,120,Not Applicable,17849,0,[]
87,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,88,45896,PA,0,225,6,52373,[],54.191.214.238,10.10.2.10,TCP,443,59083,3766270514,168610299,5,0,PA,120,Not Applicable,42298,0,[]
88,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,78,45897,PA,0,225,6,52382,[],54.191.214.238,10.10.2.10,TCP,443,59083,3766270562,168610299,5,0,PA,120,Not Applicable,14541,0,[]
89,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,53682,A,0,128,6,0,[],10.10.2.10,54.191.214.238,TCP,59083,443,168610299,3766270600,5,0,A,1023,Not Applicable,6620,0,[]
90,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,53682,A,0,128,6,0,[],10.10.2.10,54.191.214.238,TCP,59083,443,168610299,3766270600,5,0,A,1023,Not Applicable,6620,0,[]
91,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,56,34037,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3657688437,3797762870,5,0,PA,8195,Not Applicable,6000,0,[]
92,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,16920,A,0,63,6,57970,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3657688453,5,0,A,10033,Not Applicable,37328,0,[]
93,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,158,34038,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3657688453,3797762870,5,0,PA,8195,Not Applicable,6102,0,[]
94,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,16921,A,0,63,6,57969,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3657688571,5,0,A,10033,Not Applicable,37210,0,[]
95,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,75,8621,PA,0,128,6,0,[],10.10.2.10,52.10.189.118,TCP,58003,443,3731864516,154306201,5,0,PA,1022,Not Applicable,64977,0,[]
96,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,4852,A,0,227,6,34631,[],52.10.189.118,10.10.2.10,TCP,443,58003,154306201,3731864551,5,0,A,118,Not Applicable,41816,0,[]
97,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,71,4853,PA,0,227,6,34599,[],52.10.189.118,10.10.2.10,TCP,443,58003,154306201,3731864551,5,0,PA,118,Not Applicable,51509,0,[]
98,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,71,4854,FPA,0,227,6,34598,[],52.10.189.118,10.10.2.10,TCP,443,58003,154306232,3731864551,5,0,FPA,118,Not Applicable,44007,0,[]
99,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,8622,A,0,128,6,0,[],10.10.2.10,52.10.189.118,TCP,58003,443,3731864551,154306264,5,0,A,1022,Not Applicable,64942,0,[]
100,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,71,8623,PA,0,128,6,0,[],10.10.2.10,52.10.189.118,TCP,58003,443,3731864551,154306264,5,0,PA,1022,Not Applicable,64973,0,[]
101,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,8624,FA,0,128,6,0,[],10.10.2.10,52.10.189.118,TCP,58003,443,3731864582,154306264,5,0,FA,1022,Not Applicable,64942,0,[]
102,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,79,9058,PA,0,128,6,0,[],10.10.2.10,142.251.33.68,TCP,59078,443,2682772637,2217090330,5,0,PA,1027,Not Applicable,48276,0,[]
103,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,64,9059,FPA,0,128,6,0,[],10.10.2.10,142.251.33.68,TCP,59078,443,2682772676,2217090330,5,0,FPA,1027,Not Applicable,48261,0,[]
